OrderID,Date,ProductID,CustomerID,StoreID,Channel,PaymentMethod,PromoType,Quantity,UnitPrice,UnitCost,Sales,Profit
O1000046,2024-05-21,15,4975,34,Mobile App,Online Payment,Influencer,3,62.05,42.48,186.15,58.71
O1000047,2025-08-07,6,2680,24,Online,Credit Card,Bundle,4,88.64,54.87,354.56,135.08
O1000048,2024-10-24,5,4796,46,Mobile App,Credit Card,None,2,161.62,87.97,323.24,147.3
O1000049,2025-10-04,27,1116,95,Online,Online Payment,None,6,157.15,74.78,942.9,494.22
O1000050,2023-03-09,2,25,9,Store,Credit Card,None,3,37.05,16.74,111.15,60.93
O1000051,2025-07-19,16,4403,110,Online,Credit Card,None,2,76.39,50.65,152.78,51.48
O1000052,2023-02-17,1,4158,43,Mobile App,Credit Card,Seasonal,4,73.89,54.89,295.56,76.0
O1000053,2023-12-20,14,2474,85,Online,Credit Card,None,5,83.14,43.48,415.7,198.3
O1000054,2024-04-12,36,4278,67,Online,Cash,None,3,86.93,43.83,260.79,129.3
O1000055,2023-09-17,4,4361,46,Store,Credit Card,Bundle,3,77.25,37.01,231.75,120.72
O1000056,2025-12-20,39,1804,70,Store,Credit Card,Bundle,4,112.41,91.89,449.64,82.08
O1000057,2025-09-05,39,824,60,Mobile App,Cash,Bundle,3,142.16,96.8,426.48,136.08
O1000058,2024-09-18,35,3073,27,Online,Credit Card,Clearance,7,113.61,93.11,795.27,143.5
O1000059,2024-05-11,28,4455,106,Online,Online Payment,None,4,144.19,84.53,576.76,238.64
O1000060,2025-04-14,8,2895,64,Store,Online Payment,None,3,170.5,99.11,511.5,214.17
O1000061,2025-02-14,4,2024,19,Online,Online Payment,None,4,74.91,51.14,299.64,95.08
O1000062,2024-06-10,37,1169,78,Online,Credit Card,Clearance,4,84.7,82.2,338.8,10.0
O1000063,2025-06-25,15,1463,6,Store,Credit Card,Influencer,4,65.04,37.81,260.16,108.92
O1000064,2023-07-31,18,3834,53,Online,Credit Card,Clearance,7,85.68,77.36,599.76,58.24
O1000065,2023-11-01,4,1845,109,Online,Credit Card,None,5,83.08,47.25,415.4,179.15
O1000066,2023-01-20,3,2530,50,Store,Credit Card,Influencer,4,115.7,92.2,462.8,94.0
O1000067,2023-05-11,22,3014,69,Store,Cash,Influencer,6,115.69,58.0,694.14,346.14
O1000068,2023-08-06,17,1510,6,Store,Credit Card,None,3,42.4,24.78,127.2,52.86
O1000069,2024-11-15,29,1503,77,Store,Online Payment,None,3,37.71,17.02,113.13,62.07
O1000070,2025-07-26,34,3605,66,Mobile App,Credit Card,None,4,180.36,98.55,721.44,327.24
O1000071,2024-10-08,3,3219,17,Online,Cash,Clearance,2,79.42,79.66,158.84,-0.48
O1000072,2024-05-03,39,3884,91,Online,Online Payment,None,3,145.72,98.46,437.16,141.78
O1000073,2023-10-24,37,2521,88,Online,Credit Card,None,5,149.05,98.26,745.25,253.95
O1000074,2023-04-22,23,53,49,Store,Credit Card,None,6,69.72,39.01,418.32,184.26
O1000075,2024-10-02,15,3278,68,Online,Credit Card,Influencer,1,68.67,43.88,68.67,24.79
O1000076,2023-06-04,7,69,52,Store,Credit Card,Clearance,2,90.92,76.14,181.84,29.56
O1000077,2025-05-16,10,1687,41,Online,Credit Card,Bundle,6,36.93,28.68,221.58,49.5
O1000078,2024-03-24,29,3699,9,Online,Online Payment,None,4,33.38,22.09,133.52,45.16
O1000079,2024-01-19,6,1297,81,Store,Credit Card,None,1,102.48,52.67,102.48,49.81
O1000080,2023-01-30,39,4356,24,Store,Credit Card,Influencer,4,158.49,76.71,633.96,327.12
O1000081,2023-09-23,6,3370,111,Store,Credit Card,Clearance,2,75.45,54.4,150.9,42.1
O1000082,2023-01-15,31,4521,118,Online,Credit Card,None,3,120.99,75.06,362.97,137.79
O1000083,2025-03-05,34,2647,111,Store,Credit Card,Bundle,2,163.52,96.22,327.04,134.6
O1000084,2024-06-20,12,2300,71,Online,Credit Card,None,2,88.38,53.75,176.76,69.26
O1000085,2025-05-11,20,712,5,Online,Credit Card,Seasonal,3,36.24,21.33,108.72,44.73
O1000086,2024-09-11,24,4500,90,Mobile App,Cash,None,5,54.16,35.14,270.8,95.1
O1000087,2025-11-11,32,3265,12,Online,Online Payment,None,4,69.58,32.56,278.32,148.08
O1000088,2025-05-09,3,4081,98,Online,Credit Card,None,1,133.74,92.07,133.74,41.67
O1000089,2023-06-11,10,1385,66,Store,Credit Card,Seasonal,3,39.51,27.59,118.53,35.76
O1000090,2023-05-08,6,1033,71,Mobile App,Cash,Seasonal,2,96.71,61.75,193.42,69.92
O1000091,2025-09-01,13,1823,76,Store,Cash,Clearance,5,58.16,59.93,290.8,-8.85
O1000092,2023-10-22,27,2377,91,Online,Credit Card,None,5,140.96,83.05,704.8,289.55
O1000093,2025-04-18,17,4276,113,Online,Cash,Seasonal,5,41.85,24.56,209.25,86.45
O1000094,2024-11-19,20,1336,63,Store,Credit Card,Seasonal,6,37.58,24.51,225.48,78.42
O1000095,2025-02-08,19,1012,74,Store,Credit Card,Bundle,1,117.9,70.42,117.9,47.48
O1000096,2023-10-20,1,600,99,Store,Credit Card,None,2,87.59,56.15,175.18,62.88
O1000097,2023-12-10,4,2154,96,Store,Credit Card,None,1,78.7,46.57,78.7,32.13
O1000098,2024-08-31,10,521,54,Online,Credit Card,Seasonal,3,40.99,24.08,122.97,50.73
O1000099,2023-01-25,2,430,85,Store,Online Payment,None,7,33.52,20.22,234.64,93.1
O1000100,2023-12-08,33,1786,13,Online,Cash,None,5,33.65,16.01,168.25,88.2
O1000101,2024-07-10,40,2252,53,Online,Credit Card,Seasonal,4,81.76,44.76,327.04,148.0
O1000102,2023-08-13,20,2063,11,Store,Credit Card,None,2,46.0,21.82,92.0,48.36
O1000103,2023-11-10,27,4606,41,Store,Credit Card,Clearance,2,106.13,87.44,212.26,37.38
O1000104,2025-12-13,3,4590,60,Store,Credit Card,Seasonal,4,129.34,83.3,517.36,184.16
O1000105,2023-11-14,3,2794,77,Store,Cash,Bundle,2,121.55,74.61,243.1,93.88
O1000106,2025-09-16,25,4700,48,Store,Credit Card,None,4,59.78,27.37,239.12,129.64
O1000107,2025-10-13,31,4342,78,Store,Online Payment,None,7,143.22,72.46,1002.54,495.32
O1000108,2025-01-08,38,240,8,Online,Credit Card,None,7,74.1,43.26,518.7,215.88
O1000109,2023-06-17,15,2711,43,Store,Credit Card,None,5,69.89,37.21,349.45,163.4
O1000110,2023-08-14,17,1744,10,Store,Online Payment,Bundle,2,35.12,24.48,70.24,21.28
O1000111,2025-10-20,32,293,37,Mobile App,Credit Card,Influencer,4,59.61,38.31,238.44,85.2
O1000112,2023-01-02,6,3272,36,Store,Credit Card,None,5,117.06,68.6,585.3,242.3
O1000113,2024-07-06,38,2523,14,Online,Cash,Seasonal,4,65.66,36.9,262.64,115.04
O1000114,2024-10-15,12,3058,51,Mobile App,Credit Card,None,5,100.29,45.41,501.45,274.4
O1000115,2025-07-07,2,1164,12,Online,Online Payment,Seasonal,3,29.06,22.14,87.18,20.76
O1000116,2025-09-07,32,4208,82,Online,Cash,Clearance,3,42.92,41.52,128.76,4.2
O1000117,2023-11-07,39,2164,11,Online,Credit Card,Seasonal,5,155.8,89.19,779.0,333.05
O1000118,2024-07-04,20,1190,106,Store,Online Payment,Seasonal,2,41.36,26.01,82.72,30.7
O1000119,2024-11-25,7,1187,84,Store,Credit Card,None,5,119.94,68.98,599.7,254.8
O1000120,2025-11-23,7,1382,42,Online,Credit Card,Clearance,5,97.47,55.29,487.35,210.9
O1000121,2024-09-02,12,566,64,Mobile App,Credit Card,None,4,89.07,47.96,356.28,164.44
O1000122,2023-05-14,22,4337,61,Mobile App,Credit Card,Bundle,3,95.87,68.17,287.61,83.1
O1000123,2025-10-09,26,1059,105,Store,Online Payment,Bundle,6,56.87,31.41,341.22,152.76
O1000124,2024-07-15,28,3705,25,Store,Credit Card,None,2,144.41,96.23,288.82,96.36
O1000125,2023-07-16,29,2007,14,Online,Online Payment,None,4,34.92,18.77,139.68,64.6
O1000126,2023-07-28,10,604,52,Mobile App,Credit Card,None,7,40.37,25.77,282.59,102.2
O1000127,2023-08-13,7,4115,120,Mobile App,Credit Card,None,3,132.17,62.76,396.51,208.23
O1000128,2025-03-01,39,4046,35,Store,Credit Card,None,2,162.2,91.05,324.4,142.3
O1000129,2025-11-06,6,3848,55,Store,Credit Card,Bundle,9,92.39,63.52,831.51,259.83
O1000130,2024-04-28,21,1833,101,Store,Online Payment,Seasonal,2,79.76,44.59,159.52,70.34
O1000131,2023-04-18,12,184,95,Store,Credit Card,Clearance,5,62.29,44.11,311.45,90.9
O1000132,2025-08-31,30,3920,23,Store,Cash,None,4,43.85,29.39,175.4,57.84
O1000133,2024-11-26,14,3885,28,Store,Online Payment,Clearance,5,50.41,49.98,252.05,2.15
O1000134,2024-09-17,5,4352,21,Store,Online Payment,Seasonal,9,139.08,89.37,1251.72,447.39
O1000135,2023-03-08,13,154,39,Store,Credit Card,Influencer,6,79.05,46.95,474.3,192.6
O1000136,2025-11-29,5,4241,30,Store,Credit Card,Seasonal,5,117.76,79.19,588.8,192.85
O1000137,2023-03-26,7,380,15,Online,Online Payment,Influencer,4,116.22,76.82,464.88,157.6
O1000138,2024-10-31,19,139,8,Online,Credit Card,Influencer,3,127.49,78.07,382.47,148.26
O1000139,2024-10-16,39,3809,43,Online,Credit Card,None,9,162.36,81.93,1461.24,723.87
O1000140,2024-07-17,9,3707,32,Store,Credit Card,None,2,54.03,23.54,108.06,60.98
O1000141,2024-08-27,32,1967,45,Store,Credit Card,Seasonal,4,67.96,33.77,271.84,136.76
O1000142,2024-03-12,21,3651,35,Mobile App,Credit Card,Clearance,4,62.41,46.43,249.64,63.92
O1000143,2024-09-20,40,1608,39,Mobile App,Credit Card,None,6,93.67,48.87,562.02,268.8
O1000144,2024-02-03,21,595,13,Store,Credit Card,None,5,100.46,47.36,502.3,265.5
O1000145,2024-06-03,5,1878,109,Store,Online Payment,None,6,163.29,89.43,979.74,443.16
O1000146,2025-01-13,17,4485,29,Store,Credit Card,None,3,46.07,26.87,138.21,57.6
O1000147,2025-03-24,4,2621,102,Online,Credit Card,Clearance,5,47.63,38.5,238.15,45.65
O1000148,2023-06-18,9,3661,88,Store,Cash,None,4,47.22,23.19,188.88,96.12
O1000149,2025-12-23,22,3033,13,Store,Online Payment,Clearance,3,100.14,63.67,300.42,109.41
O1000150,2023-04-16,37,3288,55,Store,Online Payment,Seasonal,4,142.25,96.19,569.0,184.24
O1000151,2023-10-30,25,3352,48,Online,Online Payment,None,4,54.2,32.43,216.8,87.08
O1000152,2024-01-16,15,538,59,Store,Online Payment,None,2,67.07,38.89,134.14,56.36
O1000153,2023-12-21,26,481,38,Mobile App,Credit Card,None,5,69.08,33.72,345.4,176.8
O1000154,2024-01-21,10,608,77,Online,Credit Card,None,3,47.37,24.12,142.11,69.75
O1000155,2023-12-21,4,823,112,Online,Credit Card,None,6,82.9,43.82,497.4,234.48
O1000156,2024-04-22,30,3447,38,Store,Online Payment,None,4,48.79,25.08,195.16,94.84
O1000157,2025-04-16,34,2171,73,Online,Online Payment,None,5,181.59,99.31,907.95,411.4
O1000158,2025-06-25,25,1827,38,Store,Credit Card,None,5,61.57,33.75,307.85,139.1
O1000159,2024-01-17,20,4321,107,Mobile App,Credit Card,Bundle,5,34.72,22.21,173.6,62.55
O1000160,2023-10-11,19,2389,38,Store,Online Payment,Seasonal,6,126.31,66.46,757.86,359.1
O1000161,2025-01-11,15,3814,50,Store,Cash,None,5,76.95,35.59,384.75,206.8
O1000162,2023-03-07,39,3111,39,Mobile App,Online Payment,Seasonal,9,121.31,76.16,1091.79,406.35
O1000163,2024-05-03,21,934,75,Online,Cash,Influencer,7,89.7,43.39,627.9,324.17
O1000164,2023-08-30,35,1849,113,Store,Credit Card,Bundle,3,152.64,107.86,457.92,134.34
O1000165,2024-10-28,2,1438,17,Store,Credit Card,None,4,36.35,17.03,145.4,77.28
O1000166,2023-03-27,15,3586,40,Store,Online Payment,Seasonal,6,58.44,33.51,350.64,149.58
O1000167,2025-06-27,9,1894,15,Online,Online Payment,Seasonal,3,50.72,27.32,152.16,70.2
O1000168,2023-10-23,5,2828,66,Mobile App,Credit Card,None,2,147.04,75.76,294.08,142.56
O1000169,2024-07-17,40,4300,74,Mobile App,Online Payment,None,3,96.57,50.51,289.71,138.18
O1000170,2024-09-19,3,1842,84,Store,Cash,Clearance,6,84.09,81.47,504.54,15.72
O1000171,2024-06-04,23,4892,68,Store,Credit Card,None,7,72.08,43.1,504.56,202.86
O1000172,2024-05-06,9,1014,91,Online,Cash,Seasonal,4,48.71,23.92,194.84,99.16
O1000173,2023-10-20,4,382,108,Online,Cash,Influencer,2,80.62,39.97,161.24,81.3
O1000174,2025-04-26,40,965,5,Online,Credit Card,Influencer,2,83.56,47.64,167.12,71.84
O1000175,2024-07-19,12,2435,83,Store,Credit Card,None,3,94.62,55.23,283.86,118.17
O1000176,2023-08-25,15,149,98,Store,Online Payment,Clearance,3,49.87,37.52,149.61,37.05
O1000177,2023-10-15,8,1813,26,Store,Credit Card,Bundle,6,154.54,110.37,927.24,265.02
O1000178,2024-04-25,28,1588,11,Store,Online Payment,Influencer,3,128.09,82.02,384.27,138.21
O1000179,2025-07-13,37,1609,63,Store,Credit Card,Influencer,3,131.8,105.69,395.4,78.33
O1000180,2025-11-19,14,989,63,Mobile App,Credit Card,Seasonal,4,85.94,51.74,343.76,136.8
O1000181,2024-03-02,33,2496,6,Online,Credit Card,Clearance,3,26.49,20.76,79.47,17.19
O1000182,2024-03-09,17,1384,42,Online,Credit Card,Seasonal,4,33.78,26.37,135.12,29.64
O1000183,2023-05-22,22,3594,79,Store,Credit Card,None,5,130.13,57.1,650.65,365.15
O1000184,2024-08-21,33,2906,12,Mobile App,Credit Card,Seasonal,2,27.57,19.13,55.14,16.88
O1000185,2023-09-21,39,2953,15,Online,Cash,Seasonal,3,133.32,73.3,399.96,180.06
O1000186,2025-06-17,25,3843,31,Online,Credit Card,None,2,57.42,34.99,114.84,44.86
O1000187,2024-08-08,15,2122,50,Store,Cash,Clearance,9,38.36,40.8,345.24,-21.96
O1000188,2023-09-01,19,835,53,Online,Credit Card,Bundle,4,119.62,71.0,478.48,194.48
O1000189,2025-10-01,35,3612,5,Online,Credit Card,Influencer,5,163.9,109.56,819.5,271.7
O1000190,2025-06-12,15,4719,42,Online,Online Payment,Bundle,5,54.29,39.11,271.45,75.9
O1000191,2023-11-26,19,2058,81,Online,Online Payment,Influencer,3,138.37,83.11,415.11,165.78
O1000192,2023-05-12,32,3580,56,Mobile App,Credit Card,None,7,68.25,43.84,477.75,170.87
O1000193,2023-10-17,34,3259,83,Store,Credit Card,None,5,155.75,107.38,778.75,241.85
O1000194,2024-02-17,18,233,65,Store,Online Payment,Clearance,3,78.08,93.3,234.24,-45.66
O1000195,2024-03-21,37,840,18,Store,Credit Card,None,3,162.75,97.09,488.25,196.98
O1000196,2025-06-20,35,3419,28,Store,Online Payment,Clearance,6,121.42,94.28,728.52,162.84
O1000197,2025-11-26,19,1698,22,Store,Online Payment,Clearance,4,92.0,92.28,368.0,-1.12
O1000198,2025-03-30,12,1314,78,Online,Credit Card,None,2,102.02,58.21,204.04,87.62
O1000199,2025-07-15,8,2844,39,Store,Credit Card,None,2,173.1,93.43,346.2,159.34
O1000200,2023-05-18,5,2780,61,Store,Credit Card,Bundle,5,139.19,68.38,695.95,354.05
O1000201,2023-06-14,8,4590,120,Store,Credit Card,Bundle,8,150.7,82.64,1205.6,544.48
O1000202,2025-09-22,3,4901,15,Online,Credit Card,Seasonal,4,126.77,86.66,507.08,160.44
O1000203,2024-11-03,12,97,107,Mobile App,Credit Card,Seasonal,6,81.83,61.53,490.98,121.8
O1000204,2023-09-16,40,2285,71,Online,Credit Card,None,5,92.94,57.72,464.7,176.1
O1000205,2025-05-17,9,3635,56,Online,Cash,Seasonal,4,42.82,24.92,171.28,71.6
O1000206,2023-07-11,16,1706,79,Mobile App,Online Payment,Clearance,3,57.57,38.17,172.71,58.2
O1000207,2025-04-21,16,2420,97,Mobile App,Credit Card,None,6,76.99,40.42,461.94,219.42
O1000208,2025-08-25,21,3467,79,Online,Cash,Clearance,6,53.51,55.44,321.06,-11.58
O1000209,2024-06-19,21,3724,1,Online,Cash,Influencer,7,80.48,46.08,563.36,240.8
O1000210,2024-12-20,24,4725,109,Store,Credit Card,None,4,53.01,34.48,212.04,74.12
O1000211,2025-03-13,4,575,14,Store,Credit Card,Influencer,5,72.99,37.01,364.95,179.9
O1000212,2025-08-22,13,2239,57,Store,Online Payment,None,1,87.07,43.31,87.07,43.76
O1000213,2024-10-01,37,2959,88,Online,Credit Card,Clearance,4,97.9,90.24,391.6,30.64
O1000214,2023-11-18,40,4463,97,Store,Credit Card,Influencer,4,84.84,48.65,339.36,144.76
O1000215,2023-08-09,1,2109,108,Online,Credit Card,None,7,95.84,57.59,670.88,267.75
O1000216,2024-01-25,26,260,76,Online,Credit Card,None,3,67.94,40.33,203.82,82.83
O1000217,2023-03-03,6,1558,14,Store,Online Payment,None,5,104.97,49.76,524.85,276.05
O1000218,2025-02-04,22,4660,45,Store,Credit Card,None,3,111.07,73.43,333.21,112.92
O1000219,2024-02-09,1,163,95,Online,Credit Card,None,3,98.99,56.3,296.97,128.07
O1000220,2025-02-18,31,4741,100,Mobile App,Cash,Clearance,6,78.28,83.55,469.68,-31.62
O1000221,2023-03-09,40,2628,8,Mobile App,Online Payment,None,3,91.46,54.94,274.38,109.56
O1000222,2023-12-19,5,1033,46,Online,Credit Card,Influencer,3,131.36,70.45,394.08,182.73
O1000223,2024-03-08,17,1710,42,Mobile App,Credit Card,None,5,40.83,24.67,204.15,80.8
O1000224,2023-04-06,8,1771,105,Store,Cash,None,4,185.82,80.71,743.28,420.44
O1000225,2025-06-27,8,4611,93,Online,Credit Card,None,5,166.66,109.45,833.3,286.05
O1000226,2024-10-16,32,4052,81,Online,Credit Card,Bundle,3,62.48,35.07,187.44,82.23
O1000227,2025-07-14,5,3756,58,Online,Online Payment,Bundle,2,120.45,92.31,240.9,56.28
O1000228,2025-05-28,5,72,10,Mobile App,Credit Card,Clearance,4,112.56,74.98,450.24,150.32
O1000229,2023-02-07,15,436,90,Online,Credit Card,Clearance,7,42.08,32.3,294.56,68.46
O1000230,2025-08-06,13,4398,78,Online,Online Payment,None,11,97.48,60.27,1072.28,409.31
O1000231,2023-03-18,40,1550,35,Online,Credit Card,None,3,80.98,46.56,242.94,103.26
O1000232,2025-08-12,16,972,41,Mobile App,Online Payment,None,4,85.07,43.63,340.28,165.76
O1000233,2025-01-04,22,1299,81,Online,Online Payment,Influencer,2,115.16,70.42,230.32,89.48
O1000234,2025-06-17,5,3294,5,Store,Credit Card,None,5,145.89,90.99,729.45,274.5
O1000235,2024-07-01,15,3421,95,Mobile App,Online Payment,Influencer,4,66.16,37.22,264.64,115.76
O1000236,2023-06-25,9,1382,71,Store,Credit Card,Clearance,2,30.84,28.6,61.68,4.48
O1000237,2023-06-13,15,2876,24,Online,Credit Card,None,7,64.53,32.46,451.71,224.49
O1000238,2023-05-11,13,4117,65,Store,Credit Card,Seasonal,7,83.72,47.82,586.04,251.3
O1000239,2025-06-01,5,1795,23,Store,Credit Card,Influencer,6,141.44,97.56,848.64,263.28
O1000240,2024-08-07,23,662,36,Online,Online Payment,None,2,62.36,35.28,124.72,54.16
O1000241,2023-08-26,21,1109,6,Store,Online Payment,Seasonal,2,78.58,46.11,157.16,64.94
O1000242,2023-05-17,21,4906,100,Online,Cash,Clearance,4,72.09,50.43,288.36,86.64
O1000243,2023-03-27,17,2203,46,Mobile App,Online Payment,Clearance,5,26.27,23.5,131.35,13.85
O1000244,2023-10-10,21,3598,82,Online,Cash,None,2,103.05,56.81,206.1,92.48
O1000245,2025-04-01,30,1255,2,Online,Credit Card,None,4,46.7,21.48,186.8,100.88
O1000246,2025-09-05,11,4309,104,Online,Credit Card,None,3,164.84,108.44,494.52,169.2
O1000247,2024-10-28,8,948,64,Mobile App,Credit Card,Influencer,3,156.8,100.89,470.4,167.73
O1000248,2025-12-27,28,573,20,Online,Online Payment,Seasonal,3,130.62,74.46,391.86,168.48
O1000249,2024-03-08,6,4079,34,Online,Credit Card,Bundle,7,89.2,66.94,624.4,155.82
O1000250,2023-12-31,15,3068,49,Online,Credit Card,None,5,69.49,42.43,347.45,135.3
O1000251,2025-01-29,24,4842,119,Online,Cash,None,6,56.81,24.96,340.86,191.1
O1000252,2023-05-28,24,2659,109,Store,Online Payment,Seasonal,5,49.24,33.78,246.2,77.3
O1000253,2025-09-25,30,3775,105,Online,Credit Card,None,6,47.38,28.5,284.28,113.28
O1000254,2025-05-05,19,2617,23,Store,Online Payment,Clearance,3,94.16,91.1,282.48,9.18
O1000255,2023-02-07,20,313,66,Online,Credit Card,Clearance,4,30.34,20.77,121.36,38.28
O1000256,2023-07-25,2,1897,4,Online,Online Payment,Seasonal,2,29.76,15.81,59.52,27.9
O1000257,2024-11-18,32,4693,108,Store,Credit Card,Influencer,7,58.24,37.12,407.68,147.84
O1000258,2025-03-20,10,4747,8,Mobile App,Online Payment,Clearance,4,27.54,21.72,110.16,23.28
O1000259,2023-08-28,34,2269,116,Store,Online Payment,None,1,157.45,98.25,157.45,59.2
O1000260,2025-03-29,26,4313,23,Online,Credit Card,None,4,61.12,39.98,244.48,84.56
O1000261,2024-06-03,37,1328,73,Store,Credit Card,Bundle,4,135.16,103.71,540.64,125.8
O1000262,2025-01-10,36,1534,99,Store,Credit Card,Seasonal,5,94.26,48.32,471.3,229.7
O1000263,2024-04-09,16,3859,43,Online,Online Payment,None,3,89.22,41.36,267.66,143.58
O1000264,2024-05-12,16,337,36,Store,Credit Card,Seasonal,5,68.15,44.16,340.75,119.95
O1000265,2024-03-03,37,19,106,Store,Cash,Bundle,4,120.86,104.5,483.44,65.44
O1000266,2023-06-22,36,1223,82,Online,Credit Card,None,6,92.15,42.69,552.9,296.76
O1000267,2023-07-28,29,152,32,Store,Online Payment,Seasonal,3,29.76,22.08,89.28,23.04
O1000268,2023-07-03,37,2769,1,Store,Online Payment,Influencer,5,143.77,106.63,718.85,185.7
O1000269,2025-05-29,25,3794,40,Online,Cash,Clearance,8,32.24,30.39,257.92,14.8
O1000270,2024-04-08,1,3203,31,Store,Credit Card,None,5,97.57,48.13,487.85,247.2
O1000271,2024-02-20,23,803,78,Online,Online Payment,Bundle,4,61.53,44.53,246.12,68.0
O1000272,2025-07-26,15,4230,47,Store,Cash,None,3,69.64,39.29,208.92,91.05
O1000273,2025-08-30,1,2362,4,Store,Cash,None,3,92.27,56.61,276.81,106.98
O1000274,2023-09-14,23,1525,79,Store,Credit Card,Seasonal,4,57.9,44.46,231.6,53.76
O1000275,2024-01-24,23,2624,15,Online,Online Payment,None,3,66.56,35.76,199.68,92.4
O1000276,2024-03-27,30,800,15,Mobile App,Credit Card,None,3,43.61,23.92,130.83,59.07
O1000277,2025-07-09,32,4969,67,Online,Credit Card,Clearance,3,34.19,32.9,102.57,3.87
